"","text"
"640","this is a good joint"
"641","the macarons here are insanely good"
"642","im not eating here"
"643","our waiter was very attentive friendly and informative"
"644","maybe if they werent cold they would have been somewhat edible"
"645","this place has a lot of promise but fails to deliver"
"646","very bad experience"
"647","what a mistake"
"648","food was average at best"
"649","great food"
"650","we wont be going back anytime soon"
"651","very very disappointed ordered the  big bay plater"
"652","great place to relax and have an awesome burger and beer"
"653","it is perfect for a sitdown family meal or get together with a few friends"
"654","not much flavor to them and very poorly constructed"
"655","the patio seating was very comfortable"
"656","the fried rice was dry as well"
"657","hands down my favorite italian restaurant"
"658","that just screams legit in my booksomethats also pretty rare here in vegas"
"659","it was just not a fun experience"
"660","the atmosphere was great with a lovely duo of violinists playing songs we requested"
"661","i personally love the hummus pita baklava falafels and baba ganoush its amazing what they do with eggplant"
"662","very convenient since we were staying at the mgm"
"663","the owners are super friendly and the staff is courteous"
"664","both great"
"665","eclectic selection"
"666","the sweet potato tots were good but the onion rings were perfection or as close as i have had"
"667","the staff was very attentive"
"668","and the chef was generous with his time even came around twice so we can take pictures with him"
"669","the owner used to work at nobu so this place is really similar for half the price"
"670","google mediocre and i imagine smashburger will pop up"
"671","dont go here"
"672","i promise they wont disappoint"
"673","as a sushi lover avoid this place by all means"
"674","what a great double cheeseburger"
"675","awesome service and food"
"676","a fantastic neighborhood gem "
"677","i cant wait to go back"
"678","the plantains were the worst ive ever tasted"
"679","its a great place and i highly recommend it"
"680","service was slow and not attentive"
"681","i gave it  stars then and im giving it  stars now"
"682","your staff spends more time talking to themselves than me"
"683","dessert panna cotta was amazing"
"684","very good food great atmosphere"
"685","damn good steak"
"686","total brunch fail"
"687","prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo"
"688","the decor is nice and the piano music soundtrack is pleasant"
"689","the steak was amazingrge fillet relleno was the best seafood plate i have ever had"
"690","good food  good service "
"691","it was absolutely amazing"
"692","i probably wont be back to be honest"
"693","will definitely be back"
"694","the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well"
"695","hawaiian breeze mango magic and pineapple delight are the smoothies that ive tried so far and theyre all good"
"696","went for lunch  service was slow"
"697","we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed"
"698","i was mortified"
"699","needless to say we will never be back here again"
"700","anyways the food was definitely not filling at all and for the price you pay you should expect more"
"701","the chips that came out were dripping with grease and mostly not edible"
"702","i wasnt really impressed with strip steak"
"703","have been going since  and every meal has been awesome"
"704","our server was very nice and attentive as were the other serving staff"
"705","the cashier was friendly and even brought the food out to me"
"706","i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer"
"707","the atmosphere here is fun"
"708","would not recommend to others"
"709","service is quick and even to go orders are just like we like it"
"710","i mean really how do you get so famous for your fish and chips when its so terrible"
"711","that said our mouths and bellies were still quite pleased"
"712","not my thing"
"713"," thumbs up"
"714","if you are reading this please dont go there"
"715","i loved the grilled pizza reminded me of legit italian pizza"
"716","only pros  large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough"
"717","they have a really nice atmosphere"
"718","tonight i had the elk filet specialand it sucked"
"719","after one bite i was hooked"
"720","we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything"
"721","cute quaint simple honest"
"722","the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside"
"723","the food was great as always compliments to the chef"
"724","special thanks to dylan t for the recommendation on what to order  all yummy for my tummy"
"725","awesome selection of beer"
"726","great food and awesome service"
"727","one nice thing was that they added gratuity on the bill since our party was larger than  or  and they didnt expect more tip than that"
"728","a fly was in my apple juice a fly"
"729","the han nan chicken was also very tasty"
"730","as for the service i thought it was good"
"731","the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us"
"732","ryans bar is definitely one edinburgh establishment i wont be revisiting"
"733","nicest chinese restaurant ive been in a while"
"734","overall i like there food and the service"
"735","they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world"
"736","probably never coming back and wouldnt recommend it"
"737","friends pasta  also bad he barely touched it"
"738","try them in the airport to experience some tasty food and speedy friendly service"
"739","i love the decor with the chinese calligraphy wall paper"
"740","never had anything to complain about here"
"741","the restaurant is very clean and has a family restaurant feel to it"
"742","it was way over fried"
"743","im not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place"
"744","when i opened the sandwich i was impressed but not in a good way"
"745","will not be back"
"746","there was a warm feeling with the service and i felt like their guest for a special treat"
"747","an extensive menu provides lots of options for breakfast"
"748","i always order from the vegetarian menu during dinner which has a wide array of options to choose from"
"749","i have watched their prices inflate portions get smaller and management attitudes grow rapidly"
"750","wonderful lil tapas and the ambience made me feel all warm and fuzzy inside"
"751","i got to enjoy the seafood salad with a fabulous vinegrette"
"752","the wontons were thin not thick and chewy almost melt in your mouth"
"753","level  spicy was perfect where spice didnt overwhelm the soup"
"754","we were sat right on time and our server from the get go was fantastic"
"755","main thing i didnt enjoy is that the crowd is of older crowd around mid s and up"
"756","when im on this side of town this will definitely be a spot ill hit up again"
"757","i had to wait over  minutes to get my drink and longer to get  arepas"
"758","this is a great place to eat"
"759","the jalapeno bacon is soooo good"
"760","the service was poor and thats being nice"
"761","food was good service was good prices were good"
"762","the place was not clean and the food oh so stale"
"763","the chicken dishes are ok the beef is like shoe leather"
"764","but the service was beyond bad"
"765","im so happy to be heretasted like dirtone of the few places in phoenix that i would definately go back to again the block was amazingits close to my house"
"766","nonfancy"
"767","good food both the hot  sour  the egg flower soups were absolutely  starsmy sashimi was poor quality being soggy and tastelessgreat time  family dinner on a sunday nightthe food is not tasty at all"
"768","was the slow servicethe flair bartenders are absolutely amazingtheir frozen margaritas are way too sugary for my tastethese were so good we ordered them twiceso in a nutshell  the restaraunt smells like a combination of a dirty fish market and a sewermy girlfriends veal was very badunfortunately"
"769","or in this case"
"770","which im no fan of"
"771","but it does everything pretty wellthe staff is super nice and very quick even with the crazy crowds of the downtown juries"
"772","and court staffgreat atmosphere"
"773","and guess what he was sick all night tooso good i am going to have to review this place twice  once hereas a tribute to the place and once as a tribute to an event held here last nightthe chips and salsa were really good"
"774","but unfortunately the taste fell flat"
"775","the mozzarella sticks"
"776","i still tell people how awesome the duck wasthe server was very negligent of our needs and made us feel very unwelcome i would not suggest this placethe service was terrible thoughthis place is overpriced"
"777","and it really is overpricedit was packedi love this placei can say that the desserts were yummythe food was terriblethe seasonal fruit was fresh white peach pureeit kept getting worse and worse so now im officially donethis place should honestly be blown upbut i definitely would not eat here againdo not waste your money herei love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxesthe crpe was delicate and thin and moistawful servicewont ever go here againfood quality has been horriblefor that price i can think of a few place i would have much rather gonethe service here is fair at besti do love sushi"
"778","overhip and underservicesdo yourself a favor and stay away from this dishvery poor serviceno one at the table thought the food was above average or worth the wait that we had for itbest service and food ever"
"779","i really expect better foodthe food came out at a good pacei ate there twice on my last visit"
"780","just because she was so awesometo my disbelief"
"781","i have a very low tolerance for rude customer service people"
"782","wash dishes otherwisethe potatoes were great and so was the biscuiti probably would not go here againso flavorful and has just the perfect amount of heatthe price is reasonable and the service is greatthe wife hated her meal coconut shrimp"
"783","eithermy fella got the huevos rancheros and they didnt look too appealingwent in for happy hour"
"784","nice little vibe in the restauranttalk about great customer service of course we will be backhot dishes are not hot"
"785","no gloveseverything is deep fried in oili love their fries and their beansalways a pleasure dealing with himthey have a plethora of salads and sandwiches"
"786","this is the place to gothe service was great"
"787","but im editing it to give it only onethis is the worst sushi i have ever eat besides costcosall in all an excellent restaurant highlighted by great service"
"788","and a beautiful settingmy boyfriend and i sat at the bar and had a completely delightful experienceweird vibe from ownersthere was hardly any meative had better bagels from the grocery storego to place for gyrosi love the ownerchef"
"789","the pizza which used to be amazing is doughy and flavorlessi found a six inch long piece of wire in my salsathe service was terrible"
"790","and all three times i got the bloodiest piece of meat on my platei had about two bites and refused to eat anymorethe service was extremely slowafter  minutes wait"
"791","and the waitress had absolutely no clue as to which meals did or did not contain peanutsmy boyfriend tried the mediterranean chicken salad and fell in lovetheir rotating beers on tap is also a highlight of this placepricing is a bit of a concern at mellow mushroomworst thai everif you stay in vegas you must get breakfast here at least oncei want to first say our server was great and we had perfect servicethe pizza selections are goodi had strawberry tea"
"792","a great experiencespend your money elsewheretheir regular toasted bread was equally satisfying with the occasional pats of butter mmmmthe buffet at bellagio was far from what i anticipatedand the drinks are weak"
"793","i feel like the chips are bought"
"794","very sadi felt insulted and disrespected"
"795","i dont understandim not impressed with the concept or the foodthe only thing i wasnt too crazy about was their guacamole as i dont like it puredthere is really nothing for me at postinos"
"796","yummy christmas eve dinner to remember was the biggest fail of the entire trip for usneedless to say"
"797","i see caring teamwork to a professional degreethe ri style calamari was a jokehowever"
"798","it was barely ediblei could barely stomach the meal"
"799","i had lost the heart to finish itit also took her forever to bring us the check when we asked for itwe arent ones to make a scene at restaurants but i just dont get itdefinitely lost the love after this onedisappointing experiencethe food is about on par with dennys"
"800","not good at allif you want to wait for mediocre food and downright terrible service"
"801","ridiculousdont bother coming herethe meat was pretty dry"
"802","the bathroom is pretty trippy"
"803","seemed thin and watered down with no heatit was a bit too sweet"
"804","and lacked flavori was very disappointedthis place is horrible and way overpricedmaybe its just their vegetarian fare"
"805","but more of a douchey indoor garden for tea and biscuitscon spotty servicethe fries were not hot"
"806","disappointment ensuedthe real disappointment was our waitermy husband said she was very rude did not even apologize for the bad food or anythingthe only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomachinsults"
"807","and had to go outside for a smoke break while serving just to solidify itif someone orders two tacos dont you think it may be part of customer service to ask if it is combo or ala cartshe was quite disappointed although some blame needs to be placed at her doorafter all the rave reviews i couldnt wait to eat herewhat a disappointmentdel taco is pretty nasty and should be avoided if possibleits not hard to make a decent hamburgerbut i dont like ithell no will i go backweve have gotten a much better service from the pizza place next door than the services we received from this restauranti dont know what the big deal is about this place"
"808","it only set us up for disapppointment with our entreesthe food wasnt goodyour servers suck"
"809","correction"
"810","i really wanted to like this placeoverpriced for what you are gettingi vomited in the bathroom mid lunchi kept looking at the time and it had soon become  minutes"
"811","and this tops the listwe started with the tuna sashimi which was brownish in color and obviously wasnt freshfood was below averageit sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurantall in all"
"812","seemed undercooked"
"813","and i think well just go to ninja sushi next timethen"
